/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
NELS_88_00_BYF4STU

/* Total Record Length */
11541

/* Variable Names, Locations, and Descriptions */
STU_ID    1-7           Student ID
BYS51AC   184-184       TALK TO OTHER ADULT ABOUT H.S. PROGRAMS
BYS51BA   185-185       TALK TO COUNSELOR ABT JOBS/CAREER AFT HS
BYS51BB   186-186       TALK TO TEACHER ABOUT JOBS/CAREER AFT HS
BYS51BC   187-187       TALK TO OTH ADULT ABT JOBS/CAREER AFT HS
BYS51CA   188-188       TALK TO COUNSELOR ABT IMPROVING SCH WORK
BYS51CB   189-189       TALK TO TEACHER ABOUT IMPROVING SCH WORK
BYS51CC   190-190       TALK TO OTHR ADULT ABT IMPROVING SCH WRK
BYS51DA   191-191       TALK TO COUNSELOR ABOUT COURSES AT SCHL
BYS51DB   192-192       TALK TO TEACHER ABOUT COURSES AT SCHOOL
BYS51DC   193-193       TALK TO OTHER ADULT ABOUT COURSES AT SCH
BYS51EA   194-194       TALK TO COUNSELOR ABOUT STUDIES IN CLASS
BYS51EB   195-195       TALK TO TEACHER ABOUT STUDIES IN CLASS
BYS51EC   196-196       TALK TO OTHER ADULT ABT STUDIES IN CLASS
BYS51FA   197-197       TALK TO COUNSELOR ABOUT DISCIPLINE PROBS
BYS51FB   198-198       TALK TO TEACHER ABT DISCIPLINE PROBLEMS
BYS51FC   199-199       TALK TO OTHER ADULT ABT DISCIPLINE PROBS
BYS51GA   200-200       TALK TO COUNSELOR ABT DRUG/ALCOHOL ABUSE
BYS51GB   201-201       TALK TO TEACHER ABOUT DRUG/ALCOHOL ABUSE
BYS51GC   202-202       TALK TO OTH ADULT ABT DRUG/ALCOHOL ABUSE
BYS51HA   203-203       TALK TO COUNSELOR ABT PERSONAL PROBLEMS
BYS51HB   204-204       TALK TO TEACHER ABOUT PERSONAL PROBLEMS
BYS51HC   205-205       TALK TO OTHR ADULT ABT PERSONAL PROBLEMS
BYS52     206-207       KIND OF WORK R EXPECTS TO DO AT AGE 30
BYS53     208-208       NO. OF HOURS R WORKS FOR PAY PER WEEK
BYS54     209-210       KIND OF WORK R DOES FOR PAY CURRENT JOB
BYS55A    211-211       R SENT TO OFFICE FOR MISBEHAVING
BYS55B    212-212       R SENT TO OFFICE WITH SCHL WORK PROBLEMS
BYS55C    213-213       PARENTS RECEIVED WARNING ABT ATTENDANCE
BYS55D    214-214       PARENTS RECEIVED WARNING ABOUT GRADES
BYS55E    215-215       PARENTS RECEIVED WARNING ABOUT BEHAVIOR
BYS55F    216-216       R GOT INTO FIGHT WITH ANOTHER STUDENT
BYS56A    217-217       STUDENTS IN CLASS SEE R AS POPULAR
BYS56B    218-218       STUDENTS IN CLASS SEE R AS ATHLETIC
BYS56C    219-219       STUDENTS IN CLASS SEE R AS GOOD STUDENT
BYS56D    220-220       STUDENTS IN CLASS SEE R AS IMPORTANT
BYS56E    221-221       STUDENTS IN CLASS SEE R AS TROUBLE-MAKER
BYS57A    222-222       R HAD SOMETHING STOLEN AT SCHOOL
BYS57B    223-223       SOMEONE OFFERED TO SELL R DRUGS AT SCHL
BYS57C    224-224       SOMEONE THREATENED TO HURT R AT SCHOOL
BYS58A    225-225       STUDENT TARDINESS A PROBLEM AT SCHOOL
BYS58B    226-226       STUDENT ABSENTEEISM A PROBLEM AT SCHOOL
BYS58C    227-227       STUDENTS CUTTING CLASS A PROBLEM AT SCHL
BYS58D    228-228       PHYSICAL CONFLICTS AMONG STUD A PROBLEM
BYS58E    229-229       ROBBERY OR THEFT A PROBLEM AT SCHOOL
BYS58F    230-230       VANDALISM OF SCHOOL PROPERTY A PROBLEM
BYS58G    231-231       STUDENT USE OF ALCOHOL A PROBLEM AT SCHL
BYS58H    232-232       STUDENT USE OF ILLEGAL DRUGS A PROBLEM
BYS58I    233-233       STUDENT POSSESSION OF WEAPONS A PROBLEM
BYS58J    234-234       PHYSICAL ABUSE OF TEACHERS A PROBLEM
BYS58K    235-235       VERBAL ABUSE OF TEACHERS A PROBLEM
BYS59A    236-236       STUDENTS GET ALONG WELL WITH TEACHERS
BYS59B    237-237       THERE IS REAL SCHOOL SPIRIT
BYS59C    238-238       RULES FOR BEHAVIOR ARE STRICT
BYS59D    239-239       DISCIPLINE IS FAIR
BYS59E    240-240       OTHER STUDENTS OFTEN DISRUPT CLASS
BYS59F    241-241       THE TEACHING IS GOOD
BYS59G    242-242       TEACHERS ARE INTERESTED IN STUDENTS
BYS59H    243-243       TEACHERS PRAISE MY EFFORT
BYS59I    244-244       IN CLASS I FEEL PUT DOWN BY MY TEACHERS
BYS59J    245-245       MOST OF MY TEACHERS LISTEN TO WHAT I SAY
BYS59K    246-246       I DON^T FEEL SAFE AT THIS SCHOOL
BYS59L    247-247       STUDENT DISRUPTIONS INHIBIT LEARNING
BYS59M    248-248       MISBEHAVING STUDS OFTEN GET AWAY WITH IT
BYS60A    249-249       R^S ABILITY GROUP FOR MATHEMATICS
BYS60B    250-250       R^S ABILITY GROUP FOR SCIENCE
BYS60C    251-251       R^S ABILITY GROUP FOR ENGLISH
BYS60D    252-252       R^S ABILITY GROUP FOR SOCIAL STUDIES
BYS61     253-253       TALK TO TCHR/CNSLR ABOUT TAKING ALGEBRA
BYS62     254-254       DID PRNTS/GRDNS WANT R TO TAKE ALGEBRA
BYS63     255-255       FRIENDS ENCRG/DISCRG R FROM TAKING ALGBR
BYS64     256-256       ASKED BY PRINCIPAL IF WNTD TO TAKE ALGBR
BYS65     257-258       WHO HAD THE MST TO SAY ABT R TKNG ALGBR
BYS66A    259-259       IN ADVANCED,ENRICHED,ACCELERATED ENGLISH
BYS66B    260-260       IN ADVANCD,ENRICHD,ACCELERTD SOC.STUDIES
BYS66C    261-261       IN ADVANCED,ENRICHED,ACCELERATED SCIENCE
BYS66D    262-262       IN ADVANCED,ENRICHED,ACCELERATED MATH
BYS67A    263-263       ATTEND REMEDIAL MATH AT LEAST ONCE A WK
BYS67B    264-264       ATTEND REGULAR MATH AT LEAST ONCE A WEEK
BYS67C    265-265       ATTEND ALGEBRA AT LEAST ONCE A WEEK
BYS67AA   266-266       ATTEND LABORATORY AT LEAST ONCE A WEEK
BYS67AB   267-267       ATTEND SCIENCE AT LEAST ONCE A WEEK
BYS67AC   268-268       ATTEND BIOLOGY AT LEAST ONCE A WEEK
BYS67AD   269-269       ATTEND EARTH SCIENCE AT LEAST ONCE A WK
BYS67BA   270-270       ATTEND ENGLISH AT LEAST ONCE A WEEK
BYS67BB   271-271       ATTEND REMEDIAL ENG AT LEAST ONCE A WEEK
BYS67BC   272-272       ATTEND HISTORY AT LEAST ONCE A WEEK
BYS67BD   273-273       ATTEND SOCIAL STUDIES AT LEAST ONCE A WK
BYS67BE   274-274       ATTEND FOREIGN LANG AT LEAST ONCE A WEEK
BYS67BF   275-275       ATTEND ART AT LEAST ONCE A WEEK
BYS67BG   276-276       ATTEND MUSIC AT LEAST ONCE A WEEK
BYS67BH   277-277       ATTEND COMPUTER ED AT LEAST ONCE A WEEK
BYS67CA   278-278       ATTEND HOME ECONOMICS AT LEAST ONCE A WK
BYS67CB   279-279       ATTEND SHOP AT LEAST ONCE A WEEK
BYS67CC   280-280       ATTEND TYPING AT LEAST ONCE A WEEK
BYS67CD   281-281       ATTEND CONSUMER ED AT LEAST ONCE A WEEK
BYS67CE   282-282       ATTEND AGRICULTURE AT LEAST ONCE A WEEK
BYS67DA   283-283       ATTEND DRAMA/SPEECH AT LEAST ONCE A WEEK
BYS67DB   284-284       ATTEND RELIGIOUS ED AT LEAST ONCE A WEEK
BYS67DC   285-285       ATTEND PHYSICAL ED AT LEAST ONCE A WEEK
BYS67DD   286-286       ATTEND SEX EDUCATION AT LEAST ONCE A WK
BYS68A    287-287       ENROLLED IN CLASSES FOR GIFTED STUDENTS
BYS68B    288-288       ENROLLED IN BILINGUAL EDUCATION
BYS69A    289-289       USUALLY LOOK FORWARD TO MATH CLASS
BYS69B    290-290       AFRAID TO ASK QUESTIONS IN MATH CLASS
BYS69C    291-291       MATH WILL BE USEFUL IN MY FUTURE
BYS70A    292-292       USUALLY LOOK FORWARD TO ENGLISH CLASS
BYS70B    293-293       OFTEN AFRAID TO ASK QUESTIONS IN ENGLISH
BYS70C    294-294       ENGLISH WILL BE USEFUL IN MY FUTURE
BYS71A    295-295       LOOK FORWARD TO SOCIAL STUDIES CLASS
BYS71B    296-296       AFRAID TO ASK QUESTION IN SOCIAL STUDIES
BYS71C    297-297       SOC. STUDIES WILL BE USEFUL IN MY FUTURE
BYS72A    298-298       USUALLY LOOK FORWARD TO SCIENCE CLASS
BYS72B    299-299       AFRAID TO ASK QUESTION IN SCIENCE CLASS
BYS72C    300-300       SCIENCE WILL BE USEFUL IN MY FUTURE
BYS73     301-301       EVER FEEL BORED WHEN YOU ARE AT SCHOOL
BYS74     302-302       EVER HELD BACK A GRADE IN SCHOOL
BYS74A    303-303       EVER REPEAT KINDERGARTEN
BYS74B    304-304       EVER REPEAT GRADE 1
BYS74C    305-305       EVER REPEAT GRADE 2
BYS74D    306-306       EVER REPEAT GRADE 3
BYS74E    307-307       EVER REPEAT GRADE 4
BYS74F    308-308       EVER REPEAT GRADE 5
BYS74G    309-309       EVER REPEAT GRADE 6
BYS74H    310-310       EVER REPEAT GRADE 7
BYS74I    311-311       EVER REPEAT GRADE 8
BYS75     312-312       # OF DAYS MISSED FROM SCHL PAST 4 WEEKS
BYS76     313-313       HOW OFTEN DO YOU CUT OR SKIP CLASSES
BYS77     314-314       # OF TIMES LATE FOR SCHOOL PAST 4 WEEKS
BYS78A    315-315       HOW OFTEN COME TO CLASS W/O PENCIL/PAPER
BYS78B    316-316       HOW OFTEN COME TO CLASS WITHOUT BOOKS
BYS78C    317-317       HOW OFTEN COME TO CLASS WITHOUT HOMEWORK
BYS79A    318-319       TIME SPENT ON MATH HOMEWORK EACH WEEK
BYS79B    320-321       TIME SPENT ON SCIENCE HOMEWORK EACH WEEK
BYS79C    322-323       TIME SPENT ON ENGLISH HOMEWORK EACH WEEK
BYS79D    324-325       TIME SPENT ON SOC STUDIES HOMEWK EACH WK
BYS79E    326-327       TIME SPENT ON ALL OTH SUBJECTS EACH WEEK
BYS80     328-328       HOW MUCH READING DO YOU DO ON YOUR OWN
BYS81A    329-330       ENGLISH GRADES FROM GRADE 6 UNTIL NOW
BYS81B    331-332       MATH GRADES FROM GRADE 6 UNTIL NOW
BYS81C    333-334       SCIENCE GRADES FROM GRADE 6 UNTIL NOW
BYS81D    335-336       SOC. STUDIES GRDS FRM GRADE 6 UNTIL NOW
BYS82A    337-337       PARTICIPATED IN SCIENCE FAIRS
BYS82B    338-338       PARTICIPATED IN SCHOOL VARSITY SPORTS
BYS82C    339-339       PARTICIPATED IN INTRAMURAL SPORTS
BYS82D    340-340       PARTICIPATED IN CHEERLEADING
BYS82E    341-341       PARTICIPATED IN BAND OR ORCHESTRA
BYS82F    342-342       PARTICIPATED IN CHORUS OR CHOIR
BYS82G    343-343       PARTICIPATED IN DANCE
BYS82H    344-344       PARTICIPATED IN HISTORY CLUB
BYS82I    345-345       PARTICIPATED IN SCIENCE CLUB
BYS82J    346-346       PARTICIPATED IN MATH CLUB
BYS82K    347-347       PARTICIPATED IN FOREIGN LANGUAGE CLUB
BYS82L    348-348       PARTICIPATED IN OTHR SUBJECT MATTER CLUB
BYS82M    349-349       PARTICIPATED IN DEBATE OR SPEECH TEAM
BYS82N    350-350       PARTICIPATED IN DRAMA CLUB
BYS82O    351-351       PARTICIPATED IN ACADEMIC HONORS SOCIETY
BYS82P    352-352       PARTICIPATED IN STUDENT NEWSPAPER
BYS82Q    353-353       PARTICIPATED IN STUDENT YEARBOOK
BYS82R    354-354       PARTICIPATED IN STUDENT COUNCIL
BYS82S    355-355       PARTICIPATED IN COMPUTER CLUB
BYS82T    356-356       PARTICIPATED IN RELIGIOUS ORGANIZATION
BYS82U    357-357       PARTICIPATED IN VOC. EDUCATION CLUB
BYS83A    358-358       PARTICIPATED IN SCOUTING
BYS83B    359-359       PARTICIPATED IN RELIGIOUS YOUTH GROUPS
BYS83C    360-360       PARTICIPATED IN HOBBY CLUBS
BYS83D    361-361       PARTICIPATED IN NEIGHBORHOOD CLUBS/PROGS
BYS83E    362-362       PARTICIPATED IN BOYS^ OR GIRLS^ CLUBS
BYS83F    363-363       PARTICIPATED IN NON-SCHOOL TEAM SPORTS
BYS83G    364-364       PARTICIPATED IN 4-H
BYS83H    365-365       PARTICIPATED IN Y OR OTHER YOUTH GROUPS
BYS83I    366-366       PARTICIPATED IN SUMMER PROGRAMS
BYS83J    367-367       PARTICIPATED IN ANY OTHER ACTIVITIES
BYQFLG    368-368       BASE YEAR QUESTIONNAIRE AVAILABLE
BYTEQFLG  369-369       AT LEAST ONE TEACHER QUEX AVAILABLE
BYPAQFLG  370-370       PARENT QUESTIONNAIRE AVAILABLE
BYTXPAFG  371-371       STUDENT TESTS & PARENT QUEX AVAILABLE
BYTEPAFG  372-372       PARENT & AT LEAST 1 TEACHER QUEX AVAIL
BYTXFLG   373-373       STUDENT TESTS AVAILABLE
BYADMFLG  374-374       SCHOOL ADMINISTRATOR QUEX AVAILABLE
BYIEPFLG  375-375       INDIVIDUALIZED EDUCATION PROGRAM FLAG
G8TYPE    376-377       GRADE SPAN OF SCHOOL
G8CTRL    378-378       SCHOOL CONTROL COMPOSITE
BYSCENRL  379-380       TOTAL SCHOOL ENROLLMENT COMPOSITE
G8ENROL   381-382       8TH GRADE ENROLLMENT COMPOSITE
G8URBAN   383-383       URBANICITY COMPOSITE
G8REGON   384-384       COMPOSITE GEOGRAPHIC REGION OF SCHOOL
G8MINOR   385-387       PERCENT MINORITY IN SCHOOL
G8LUNCH   388-390       PERCENT FREE LUNCH IN SCHOOL
NOMSECT   391-391       SECTOR OF 1ST NOMINATED 1OTH GRADE SCHL
SEX       392-392       COMPOSITE SEX
RACE      393-393       COMPOSITE RACE
HISP      394-394       HISPANIC SUBGROUPS
API       395-396       ASIAN/PACIFIC ISLANDER RACE COMPOSITE
HEARIMP   397-397       HEARING IMPAIRMENT COMPOSITE
HANDPAST  398-398       PAST HANDICAP PROGRAM RECIPIENT
BYHANDPR  399-399       PARENT-REPORTED HANDICAP PGM RECIPIENT
BYHANDTR  400-400       TEACHER-REPORTED HANDICAP
BIRTHMO   401-402       MONTH OF BIRTH
BIRTHYR   403-404       YEAR OF BIRTH
BYLOCUS1  405-408       LOCUS1  LOCUS OF CONTROL 1
BYLOCU1T  409-409       TERTILE CODING OF VARIABLE BYLOCUS1
BYLOCUS2  410-413       LOCUS2  LOCUS OF CONTROL 2
BYLOCU2T  414-414       TERTILE CODING OF VARIABLE BYLOCUS2
BYCNCPT1  415-418       SELF CONCEPT 1
BYCNCP1T  419-419       TERTILE CODING OF VARIABLE BYCNCPT1
BYCNCPT2  420-423       SELF CONCEPT 2
BYCNCP2T  424-424       TERTILE CODING OF VARIABLE BYCNCPT2
BYSES     425-429       SOCIO-ECONOMIC STATUS COMPOSITE
BYSESQ    430-430       QUARTILE CODING OF BYSES VARIABLE
BYPARED   431-432       PARENTS^ HIGHEST EDUCATION LEVEL
BYFAMSIZ  433-434       FAMILY SIZE
BYFCOMP   435-436       FAMILY COMPOSITION COMPOSITE
BYPARMAR  437-438       PARENTS^ MARITAL STATUS
